F1_in_air_time,F2_on_paper_time,F3_total_time,F4_stroke_count,duty_cycle,path_length,median_acceleration,median_speed,p95_speed,stop_ratio,straightness,dominant_angle,direction_concentration,mean_pressure,width,height,aspect_ratio,ink_density,mean_slant,std_slant,abs_mean_slant,pen_up_path_length,median_pen_up_speed,p95_pen_up_speed,pen_up_ratio,id
10978,11204,22182,21,0.5050942205391759,160447.4897315494,0.0,4.770787118749775,16.99024967508713,0.21321525885558584,0.023081277865459323,-11.570806715135758,27.82334023421415,442.75621222296843,7619,6428,1.1852831362787803,0.004132950739789779,1.504837488734801,112.35445436715271,91.39738601393773,97401.22534635209,6.239318479513091,24.157129115874994,0.6070598269210548,u00001s00001_hw00002
17963,14513,32476,23,0.4468838526912181,124648.42995079738,0.0,3.3000946956110213,9.386825196658496,0.20745798319327732,0.025723627899604688,-51.467341127497114,15.856954747054267,560.8199273482096,6421,5923,1.084079014013169,0.0042057721787280115,14.733758382457768,116.3413574764896,97.88077437314368,72027.55564247815,1.7365554986812255,11.271987301875097,0.5778456709876705,u00002s00001_hw00002
25678,22746,48424,29,0.4697257558235586,177261.8807114056,0.0,2.125,6.863761646706089,0.2092245989304813,0.021813158872581517,-53.136614303552705,29.88971050041646,706.9539887454486,7068,5447,1.2975950064255553,0.006099399849350812,-13.339659648541724,109.45550358746303,89.47171209027145,119894.1681819307,2.37761671101332,15.854230818296976,0.6763674609609189,u00003s00001_hw00002
7109,12166,19275,18,0.6311802853437095,115801.66618259723,-0.0357142857142857,3.5970509462897633,13.060872186321083,0.10944340212632896,0.03414830882239706,-16.46255332401234,38.837609854680274,464.31168831168833,7511,6996,1.0736134934248143,0.0030302365284758845,-36.59450061991744,93.74561206004083,81.34192286104773,55380.21180189621,4.339138739427446,29.480897659167017,0.47823328996468956,u00004s00001_hw00002
12985,14757,27742,33,0.5319371350299186,129243.93739230002,0.0,2.75,11.249174549829577,0.2169174883238194,0.028644647899413664,-31.916090457295194,83.43603651858832,537.3770408163265,7547,5509,1.3699400980214196,0.0038437027884107877,-20.090338579336898,108.48193034950648,89.31653704717239,73400.49052236564,3.213502726915391,19.361472187798395,0.5679221169157805,u00005s00001_hw00002
13870,9323,23193,25,0.4019747337558746,140755.96784482745,-0.017857142857143238,4.759858191164943,19.412673866301354,0.22423742786479803,0.02281237365548982,-11.042701971937772,69.89645665052262,578.6688206785137,8321,7036,1.1826321773735076,0.003488714100372515,-53.00195471013382,94.40804913445335,89.3591918013383,80216.36386524083,2.7142857142857144,16.596092545066686,0.5698967162349603,u00006s00001_hw00002
31036,16741,47777,35,0.3503987274211441,177455.96405631813,0.0,3.5484978138212058,7.406829438750478,0.133973479652492,0.02049600948795296,-54.10237670084606,51.48305652018397,421.64221422142214,6822,6456,1.0566914498141264,0.005150638234096003,-8.541501224779793,125.7661615412025,109.94957680765971,120392.16929600225,1.6770509831248424,12.003741712188733,0.6784340550977149,u00007s00001_hw00002
25105,16770,41875,41,0.4004776119402985,201385.34258890618,0.0,3.335033579979643,12.982104778855579,0.18993135011441648,0.01900017889924512,-17.60305055716854,86.54486831635853,399.0682839173405,7269,6174,1.1773566569484937,0.0058120448356831,-47.27163162503705,92.188292888625,82.16069677269857,126021.66131713387,2.560469164112482,16.201159608192686,0.6257737514412138,u00008s00001_hw00002
12375,12219,24594,25,0.4968284947548183,136981.6151651893,0.0,2.0920195606553187,16.443534061412176,0.3160200250312891,0.02148628695496826,-6.6905116572696635,49.140624385000805,372.2963647566235,5915,5540,1.0676895306859207,0.005194385593117455,2.931529302896867,107.67760473856788,82.77442327874931,84498.28377052442,3.5816371954736006,23.01064527383722,0.6168585738212095,u00009s00001_hw00002
14708,11901,26609,21,0.44725468826336956,125163.41232548583,-0.01374992660343377,4.155192534648665,9.561199937158577,0.10961538461538461,0.03063831940602147,-63.53678718606998,33.67119508518123,288.5452245414295,6645,6246,1.06388088376561,0.0038510143689590172,-23.340578730281422,107.64892883260461,92.98088394519291,73844.727101316,2.25,20.362442860119806,0.5899865282458403,u00010s00001_hw00002
