F1_in_air_time,F2_on_paper_time,F3_total_time,F4_stroke_count,duty_cycle,path_length,median_acceleration,median_speed,p95_speed,stop_ratio,straightness,dominant_angle,direction_concentration,mean_pressure,width,height,aspect_ratio,ink_density,mean_slant,std_slant,abs_mean_slant,pen_up_path_length,median_pen_up_speed,p95_pen_up_speed,pen_up_ratio,id
4817,7169,11986,7,0.5981144668780244,62565.55919230449,0.0,3.241992094469058,11.452029145657674,0.27906976744186046,0.11524124505902081,-67.40573201015792,61.08254578535392,597.7261280167891,4841,7772,0.6228769943386516,0.002136066043789406,-35.76236197281871,99.72977788717682,87.94200057541794,31841.058215539,4.5,22.166421504558624,0.5089230980525692,u00001s00001_hw00001
8057,9468,17525,10,0.5402567760342368,58930.295024771636,0.0,3.5377429245212264,7.047224827805252,0.1297037630104083,0.10683098234797177,13.801229481064459,0.14934152917325172,602.2319301032566,5698,8135,0.7004302397049785,0.0015907403509521044,4.96811432861711,112.65610765973118,95.24238056373761,26990.5163917857,1.4630874888399532,9.741821674236181,0.4580074880066374,u00002s00001_hw00001
12681,10234,22915,10,0.44660702596552476,91033.2963856331,0.0,2.6840420325794194,8.11838308485498,0.21687638786084382,0.0657330096064834,-81.5787410123471,24.926170634548345,858.608376193975,5475,8038,0.6811395869619308,0.002928423825654114,-27.07903755144358,100.86096363362768,85.589810563401,60825.3403601488,2.6721947908039936,14.994712440792346,0.6681658555182044,u00003s00001_hw00001
4760,7425,12185,9,0.6093557652851868,51472.868119619496,0.0,3.023346655611956,10.163226971084562,0.24028629856850717,0.13858812535836287,-64.22676552442329,51.54879154445287,623.7142857142857,4034,7165,0.5630146545708304,0.0021853215928743664,-55.808899836689704,80.53212450035147,80.60774392886417,26035.402011433078,2.642755479193621,18.888517350370844,0.5058082629265684,u00004s00001_hw00001
8494,7192,15686,12,0.45849802371541504,72691.61020894091,0.0,3.3227596134905433,10.577503074659452,0.2277542372881356,0.08476630566454502,-39.124011618562946,22.733403339003505,655.7259414225941,5092,8035,0.633727442439328,0.002324918514400733,-23.400939751640248,102.81618572788692,86.8546980145453,42672.90337941776,2.3048861143232218,18.37863830720833,0.5870402823209038,u00005s00001_hw00001
2014,11259,13273,3,0.8482633918481127,27263.69633584223,0.0,0.14285714285714285,7.453833767830488,0.5324414715719064,0.1651786523577775,5.532169833565551,124.63483760995618,856.6214953271028,3813,5289,0.7209302325581395,0.001983118741782265,13.09302745983051,90.02592795541507,61.35370689771601,6413.201178617528,1.1473041248784677,10.585800994867018,0.2352286021534949,u00006s00001_hw00001
22969,9314,32283,15,0.288510981011678,152263.7555058605,0.0,5.062114182829147,10.37165485033792,0.13327882256745707,0.060214272995965,-97.24113533747726,21.24869414815367,419.04523424878835,6037,9249,0.6527192128878798,0.003746931681823421,-46.83426146234407,112.55042002754055,107.26056169183094,107993.25113148292,2.462214450449026,16.73658201599624,0.7092511988338969,u00007s00001_hw00001
14590,8759,23349,18,0.37513383870829586,107179.96777089131,0.0,3.06727293622627,10.948636904837848,0.2,0.06115941519223496,-71.90380690439314,24.096193703153702,373.63198624247633,5652,7119,0.7939317319848294,0.003705659744231656,-27.278326470813013,109.9968574595464,96.64867682285941,71816.68687749952,2.7385969454438674,12.633725508790292,0.6700569926557116,u00008s00001_hw00001
2342,7248,9590,3,0.7557872784150157,35051.993669598036,0.0,0.125,14.997626452514888,0.606029106029106,0.07268453944086432,13.589061559703518,188.96484876146047,718.6963730569948,3480,5957,0.5841866711431929,0.002076271765233993,9.581964638001072,69.44155523040281,42.522226141054574,12920.105209213358,2.6061264483053455,13.813253167847153,0.36859829803117505,u00009s00001_hw00001
8912,8003,16915,10,0.4731303576707065,81545.69337792616,-0.015656423664321295,3.712245617099836,9.48613379784658,0.11669829222011385,0.1032390672798572,-61.51451521945571,5.918751749496453,359.0968045112782,5139,9297,0.5527589545014521,0.0021273649402262667,-46.90402786198013,93.19418044717884,86.8249671780206,50123.38607800547,1.8955623329390692,18.104571284799718,0.6146662564472536,u00010s00001_hw00001
10079,10725,20804,10,0.5155258604114593,84964.81218377857,0.0,2.5714285714285716,6.667084514670267,0.2711864406779661,0.07900389125102275,-110.88982949263043,10.4152348147739,464.62833099579245,4343,7140,0.6082633053221288,0.0034681068039568367,-24.16563290910053,107.23776988080384,92.51988192262823,57156.247187336245,2.1092604371762,14.116594281074534,0.6727049200521681,u00011s00001_hw00001
