path_length,mean_speed,std_speed,straightness,direction_variance,bbox_area,sample_id
10.761337,0.05407707,0.026823653,0.08213914,2.9260995,0.5371277,u00001s00001_hw00007
16.650896,0.083672844,0.0476777,0.06207316,2.8255982,0.80355924,u00002s00001_hw00007
11.236788,0.05646627,0.029169165,0.072887406,2.962212,0.48592216,u00003s00001_hw00007
14.218405,0.07144927,0.0354946,0.053287387,2.9420934,0.5407716,u00004s00001_hw00007
12.789945,0.06427108,0.03087589,0.07252749,2.8649206,0.5639126,u00005s00001_hw00007
19.153889,0.0962507,0.05028711,0.056713305,2.8912342,0.7978257,u00006s00001_hw00007
9.171597,0.046088424,0.026604585,0.08810015,2.9088006,0.5289686,u00007s00001_hw00007
12.085424,0.060730778,0.03241337,0.07644241,2.854683,0.64520466,u00008s00001_hw00007
10.454364,0.05253449,0.030239407,0.06713597,2.738012,0.46266952,u00009s00001_hw00007
9.844688,0.049470797,0.02567682,0.07925736,2.7668488,0.5109631,u00010s00001_hw00007
9.7320175,0.04890461,0.026635662,0.08326303,2.895525,0.55363166,u00011s00001_hw00007
12.31621,0.0618905,0.03318518,0.07045142,2.9180048,0.5538054,u00012s00001_hw00007
11.203501,0.056298997,0.029731596,0.08029243,2.8685303,0.6295225,u00013s00001_hw00007
9.173168,0.04609632,0.024171371,0.08703336,2.95893,0.48815447,u00014s00001_hw00007
16.89037,0.08487623,0.044386502,0.058683313,2.9220536,0.70586723,u00015s00001_hw00007
13.176729,0.06621472,0.03344182,0.06321541,3.0019636,0.58581924,u00016s00001_hw00007
11.338608,0.056977928,0.028916057,0.08039328,3.006369,0.5673679,u00017s00001_hw00007
13.937659,0.07003849,0.03706131,0.07017961,2.8435698,0.7608099,u00018s00001_hw00007
8.371738,0.042069037,0.0250109,0.09887495,2.7871048,0.5057917,u00019s00001_hw00007
9.827963,0.049386747,0.0261206,0.079684675,2.8950877,0.50457823,u00020s00001_hw00007
9.366056,0.047065612,0.024994439,0.08192663,2.813714,0.5062242,u00021s00001_hw00007
12.653196,0.0635839,0.031173185,0.071970224,2.9181333,0.6459899,u00022s00001_hw00007
8.985808,0.045154817,0.022682127,0.09019219,2.7990067,0.49817982,u00023s00001_hw00007
13.21832,0.06642372,0.03402531,0.06716444,3.079543,0.569191,u00024s00001_hw00007
10.06614,0.05058362,0.024698632,0.088253185,2.8350003,0.55284137,u00025s00001_hw00007
11.03746,0.055464625,0.03125693,0.07963647,2.8962133,0.5751748,u00026s00001_hw00007
11.777056,0.059181184,0.030795652,0.072753236,3.002314,0.6073738,u00027s00001_hw00007
